"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 05일","8,924.25","8,806.25","9,020.00","8,798.50","367.23K","1.46%"
"2020년 05월 04일","8,795.50","8,624.00","8,828.00","8,556.25","381.91K","0.89%"
"2020년 05월 01일","8,718.00","8,847.00","8,879.00","8,672.00","414.56K","-3.01%"
"2020년 04월 30일","8,988.50","9,109.50","9,144.75","8,856.50","462.96K","-0.53%"
"2020년 04월 29일","9,036.50","8,759.25","9,118.75","8,733.75","432.41K","3.63%"
"2020년 04월 28일","8,719.75","8,819.00","8,945.75","8,654.50","440.94K","-1.18%"
"2020년 04월 27일","8,824.25","8,766.00","8,898.00","8,730.00","355.55K","0.63%"
"2020년 04월 24일","8,769.00","8,588.25","8,780.25","8,498.25","380.23K","1.98%"
"2020년 04월 23일","8,598.75","8,636.25","8,786.50","8,580.50","435.11K","-0.45%"
"2020년 04월 22일","8,638.00","8,447.00","8,700.00","8,400.00","373.07K","2.45%"
"2020년 04월 21일","8,431.75","8,695.00","8,763.00","8,342.00","582.45K","-2.99%"
"2020년 04월 20일","8,692.00","8,799.50","8,846.00","8,687.00","427.98K","-1.33%"
"2020년 04월 17일","8,809.00","8,909.75","8,966.75","8,689.50","509.56K","0.86%"
"2020년 04월 16일","8,734.25","8,576.00","8,842.50","8,500.50","539.16K","1.63%"
"2020년 04월 15일","8,594.00","8,706.25","8,707.50","8,486.50","407.75K","-1.13%"
"2020년 04월 14일","8,692.50","8,337.00","8,710.00","8,319.00","431.92K","4.39%"
"2020년 04월 13일","8,327.25","8,296.00","8,338.75","8,073.25","385.07K","1.07%"
"2020년 04월 10일","8,238.75","8,238.75","8,238.75","8,238.75","-","0.14%"
"2020년 04월 09일","8,227.50","8,195.25","8,326.25","8,101.75","522.65K","0.46%"
"2020년 04월 08일","8,189.75","8,015.00","8,242.00","7,953.25","424.38K","2.22%"
"2020년 04월 07일","8,012.00","8,034.25","8,303.25","7,948.00","531.04K","-0.22%"
"2020년 04월 06일","8,029.75","7,535.75","8,099.00","7,535.50","396.87K","6.74%"
"2020년 04월 03일","7,522.75","7,623.00","7,660.25","7,423.50","351.87K","-1.37%"
"2020년 04월 02일","7,627.25","7,473.50","7,656.25","7,376.00","436.83K","2.53%"
"2020년 04월 01일","7,438.75","7,772.50","7,773.50","7,404.25","411.36K","-4.46%"
"2020년 03월 31일","7,786.25","7,856.75","7,995.00","7,747.50","424.39K","-0.87%"
"2020년 03월 30일","7,854.75","7,395.75","7,884.00","7,365.00","419.58K","3.78%"
